Title,Price,Rating
The Little Java Book Of Adventure Game Programming: Learn Object Oriented Programming – advanced coding techniques (Little Programming Books),18.99,4.2
"Learn Docker - .NET Core, Java, Node.JS, PHP or Python: Be ready to create and run your containerized application next week (Learn Collection)",8.99,4.8
OCP Oracle Certified Professional Java SE 11 Programmer I Study Guide: Exam 1Z0-815,35.49,4.5
"Object-Oriented Software Engineering Using UML, Patterns, and Java",27.19,4.4
Learn Java: A Crash Course Guide to Learn Java in 1 Week,17.97,4.2
"Dependency Injection Principles, Practices, and Patterns",59.99,4.7
Developing High-Frequency Trading Systems: Learn how to implement high-frequency trading from scratch with C++ or Java basics,44.99,4.0
"Modern Java in Action: Lambdas, streams, functional and reactive programming",54.99,4.5
Effective Software Testing: A developer's guide,37.49,4.8
Scalable Data Architecture with Java: Build efficient enterprise-grade data architecting solutions using Java,44.99,5.0
Effective Python: 90 Specific Ways to Write Better Python (Effective Software Development Series),40.86,4.7
Learn Java and Master Writing Code: A step-by-step guide from a beginner to a Java programmer,6.88,4.4
"Go Programming Language, The (Addison-Wesley Professional Computing Series)",35.99,4.7
"Concurrent Programming in Java: Design Principles and Pattern, 2nd Edition",54.70,4.3
The Lost Temple of Java,1.99,3.9
"Python Crash Course, 2nd Edition: A Hands-On, Project-Based Introduction to Programming",21.49,4.7
Java in easy steps,14.39,4.5
OCA/OCP Java SE 8 Programmer Certification Bundle (Exams 1Z0-808 and 1Z0-809),54.99,4.4
Thinking in Java,73.24,4.5
Spring Boot: Up and Running: Building Cloud Native Java and Kotlin Applications,42.99,4.3
"Java EE 7 Tutorial, The: Volume 2 (Java Series)",39.99,4.9
"Data Structures and Abstractions with Java, Global Edition",52.19,4.0
JavaScript for Kids: A Playful Introduction to Programming,33.20,4.6
Grokking Functional Programming,59.99,4.3
Clean Code: A Handbook of Agile Software Craftsmanship,35.61,4.7
Do-It-Yourself Java Games: An Introduction to Java Computer Programming,25.00,4.1
Java 17 for Absolute Beginners: Learn the Fundamentals of Java Programming,49.99,5.0
Grokking Algorithms: An Illustrated Guide for Programmers and Other Curious People,33.99,(4.6)
Practical Discrete Mathematics: Discover math principles that fuel algorithms for computer science and machine learning with Python,62.99,(4.3)
End-to-End Web Testing with Cypress: Explore techniques for automated frontend web testing with Cypress and JavaScript,46.99,(3.7)
Java: Programming Basics for Absolute Beginners (Step-By-Step Java),16.38,(4.2)
Java Pocket Guide: Instant Help for Java Programmers,19.59,(4.5)
Java Generics and Collections: Speed Up the Java Development Process,34.99,(4.3)
Sql Guide (Quick Study: SQL),4.95,(4.5)
Java Programming for Kids: Learn Java Step By Step and Build Your Own Interactive Calculator for Fun! (Java for Beginners),12.99,(3.9)
Java For Dummies,45.52,(4.4)
"The Java Programming Language, 4th Edition",88.88,(4.2)
Java Cookbook: Problems and Solutions for Java Developers,32.49,(4.5)
Java Jumble®: Puzzles to Stimulate Your Mind (Jumbles®),9.99,(4.7)
Data Structures and Other Objects Using Java,35.28,(4.1)
"JUnit in Action, Third Edition",36.00,(4.4)
Java 9 Modularity: Patterns and Practices for Developing Maintainable Applications,33.99,(4.8)
"Learn Java 17 Programming: Learn the fundamentals of Java Programming with this updated guide with the latest features, 2nd Edition",39.99,(5.0)
Grokking Functional Programming,59.99,(4.3)
Hands-on JavaScript for Python Developers: Leverage your Python knowledge to quickly learn JavaScript and advance your web development career,29.99,(4.5)
Learn Java: A Crash Course Guide to Learn Java in 1 Week,17.97,(4.2)
Optimizing Java: Practical Techniques for Improving JVM Application Performance,53.81,(4.2)
"JAVA Cheat Sheet, Cover the Basic JAVA Syntaxes, A Reference Guide: JAVA Programming Syntax Book, Syntax Table & Chart, Quick Study Workbook",16.99,(4.0)
